userid,age_range,gender,metro_area
968,55+,female,LA
969,18 to 24,male,HOU
970,25 to 34,female,None of above
971,35 to 44,male,PHL
972,18 to 24,female,DC
973,25 to 34,non-binary,LA
974,25 to 34,female,SF
975,35 to 44,female,PHL
976,35 to 44,non-binary,SF
977,25 to 34,male,SF
978,25 to 34,male,None of above
979,55+,male,SF
980,45 to 54,male,SF
981,25 to 34,female,None of above
982,35 to 44,male,DC
983,25 to 34,prefer not to answer,LA
984,35 to 44,male,SF
985,18 to 24,female,SF
986,25 to 34,prefer not to answer,SF
987,25 to 34,prefer not to answer,NYC
988,25 to 34,female,LA
989,25 to 34,male,None of above
990,18 to 24,female,SF
991,35 to 44,male,NYC
992,35 to 44,male,NYC
993,45 to 54,female,DC
994,35 to 44,male,PHL
995,35 to 44,prefer not to answer,ATL
996,35 to 44,male,SEA
997,25 to 34,non-binary,LA
998,25 to 34,male,DC
999,55+,female,NYC
1000,25 to 34,male,SF
1001,25 to 34,female,None of above
1002,25 to 34,female,CHI
1003,35 to 44,female,None of above
1004,18 to 24,male,None of above
1005,45 to 54,prefer not to answer,LA
1006,18 to 24,male,SF
1007,35 to 44,female,PHL
1008,35 to 44,prefer not to answer,DC
1009,18 to 24,male,LA
1010,45 to 54,female,None of above
1011,35 to 44,prefer not to answer,SF
1012,35 to 44,female,SF
1013,25 to 34,female,LA
1014,35 to 44,female,None of above
1015,35 to 44,male,LA
1016,35 to 44,male,None of above
1017,35 to 44,prefer not to answer,None of above
1018,35 to 44,female,None of above
1019,18 to 24,male,NYC
1020,25 to 34,female,NYC
1021,35 to 44,female,SF
1022,25 to 34,male,SF
1023,35 to 44,female,SEA
1024,25 to 34,female,LA
1025,25 to 34,female,HOU
1026,25 to 34,prefer not to answer,DC
1027,35 to 44,prefer not to answer,PHL
1028,35 to 44,prefer not to answer,NYC
1029,18 to 24,male,SF
1030,25 to 34,female,PHL
1031,35 to 44,female,PHL
1032,35 to 44,female,None of above
1033,25 to 34,female,SF
1034,25 to 34,prefer not to answer,SEA
1035,25 to 34,male,None of above
1036,55+,prefer not to answer,None of above
1037,25 to 34,male,None of above
1038,35 to 44,prefer not to answer,LA
1039,35 to 44,female,SEA
1040,35 to 44,female,LA
1041,25 to 34,female,SF
1042,35 to 44,male,None of above
1043,18 to 24,female,LA
1044,35 to 44,female,None of above
1045,35 to 44,female,None of above
1046,35 to 44,female,ATL
1047,45 to 54,female,LA
1048,25 to 34,female,NYC
1049,18 to 24,female,LA
1050,35 to 44,female,DC
1051,35 to 44,female,PHL
1052,18 to 24,female,LA
1053,35 to 44,female,None of above
1054,25 to 34,male,LA
1055,25 to 34,female,SF
1056,25 to 34,female,SF
1057,35 to 44,male,NYC
1058,25 to 34,female,SEA
1059,55+,male,NYC
1060,45 to 54,female,NYC
1061,35 to 44,female,None of above
1062,25 to 34,male,None of above
1063,18 to 24,male,SF
1064,35 to 44,male,LA
1065,18 to 24,female,None of above
1066,35 to 44,female,SF
1067,35 to 44,female,SF
1068,35 to 44,female,DC
1069,25 to 34,prefer not to answer,NYC
1070,25 to 34,female,LA
1071,35 to 44,prefer not to answer,LA
1072,25 to 34,female,NYC
1073,25 to 34,male,LA
1074,35 to 44,male,LA
1075,25 to 34,female,SF
1076,25 to 34,prefer not to answer,None of above
1077,25 to 34,male,None of above
1078,35 to 44,male,LA
1079,18 to 24,male,ATL
1080,35 to 44,prefer not to answer,PHL
1081,35 to 44,female,PHL
1082,18 to 24,female,LA
1083,25 to 34,female,NYC
1084,25 to 34,prefer not to answer,HOU
1085,25 to 34,prefer not to answer,SEA
1086,45 to 54,female,SEA
1087,25 to 34,male,SF
1088,45 to 54,male,SF
1089,35 to 44,male,LA
1090,45 to 54,male,SF
1091,35 to 44,male,NYC
1092,45 to 54,male,DC
1093,25 to 34,female,SF
1094,55+,female,HOU
1095,18 to 24,female,SF
1096,35 to 44,prefer not to answer,None of above
1097,25 to 34,female,LA
1098,35 to 44,female,SEA
1099,25 to 34,male,LA
1100,35 to 44,female,LA
1101,45 to 54,prefer not to answer,LA
1102,35 to 44,male,DC
1103,55+,female,BOS
1104,35 to 44,female,LA
1105,35 to 44,female,None of above
1106,18 to 24,prefer not to answer,DC
1107,45 to 54,female,SEA
1108,35 to 44,male,SF
1109,35 to 44,prefer not to answer,PHL
1110,25 to 34,male,LA
1111,35 to 44,female,None of above
1112,35 to 44,male,LA
1113,35 to 44,female,SF
1114,35 to 44,male,NYC
1115,25 to 34,female,HOU
1116,35 to 44,female,SF
1117,35 to 44,female,PHL
1118,35 to 44,female,SF
1119,35 to 44,prefer not to answer,SF
1120,25 to 34,female,SF
1121,25 to 34,prefer not to answer,None of above
1122,18 to 24,female,None of above
1123,35 to 44,prefer not to answer,None of above
1124,25 to 34,female,LA
1125,25 to 34,female,DC
1126,55+,female,HOU
1127,25 to 34,male,DC
1128,18 to 24,female,HOU
1129,18 to 24,female,None of above
1130,25 to 34,female,None of above
1131,25 to 34,female,LA
1132,35 to 44,female,SF
1133,25 to 34,male,SF
1134,25 to 34,female,LA
1135,45 to 54,female,LA
1136,25 to 34,female,SF
1137,45 to 54,male,NYC
1138,18 to 24,female,NYC
1139,18 to 24,male,SF
1140,35 to 44,male,DC
1141,25 to 34,female,None of above
1142,45 to 54,female,LA
1143,25 to 34,male,DC
1144,25 to 34,male,LA
1145,25 to 34,female,LA
1146,35 to 44,male,PHL
1147,35 to 44,male,SF
1148,18 to 24,male,SEA
1149,18 to 24,female,NYC
1150,55+,prefer not to answer,LA
1151,35 to 44,male,None of above
1152,35 to 44,male,NYC
1153,35 to 44,female,NYC
1154,35 to 44,female,SF
1155,35 to 44,male,LA
1156,35 to 44,female,LA
1157,25 to 34,female,None of above
1158,18 to 24,male,None of above
1159,45 to 54,female,DC
1160,25 to 34,female,SF
1161,25 to 34,female,DC
1162,18 to 24,female,HOU
1163,45 to 54,male,LA
1164,25 to 34,prefer not to answer,DC
1165,25 to 34,male,NYC
1166,35 to 44,female,SF
1167,18 to 24,female,ATL
1168,25 to 34,female,None of above
1169,25 to 34,male,LA
1170,35 to 44,male,SF
1171,35 to 44,prefer not to answer,SEA
1172,25 to 34,female,SF
1173,35 to 44,male,SF
1174,25 to 34,female,None of above
1175,45 to 54,male,DC
1176,35 to 44,female,SF
1177,35 to 44,male,SF
1178,25 to 34,male,SEA
1179,55+,female,SF
1180,35 to 44,female,LA
1181,35 to 44,female,None of above
1182,35 to 44,female,SEA
1183,25 to 34,female,NYC
1184,18 to 24,female,LA
1185,25 to 34,male,LA
1186,35 to 44,female,SEA
1187,25 to 34,female,SF
1188,45 to 54,female,LA
1189,35 to 44,prefer not to answer,LA
1190,25 to 34,female,None of above
1191,25 to 34,prefer not to answer,DC
1192,25 to 34,male,DC
1193,35 to 44,male,SEA
1194,25 to 34,female,SF
1195,25 to 34,male,LA
1196,25 to 34,prefer not to answer,LA
1197,45 to 54,female,NYC
1198,35 to 44,prefer not to answer,None of above
1199,45 to 54,prefer not to answer,DC
1200,25 to 34,female,SEA
1201,25 to 34,female,DC
1202,35 to 44,male,LA
1203,45 to 54,male,HOU
1204,35 to 44,non-binary,LA
1205,35 to 44,female,LA
1206,25 to 34,male,BOS
1207,45 to 54,female,LA
1208,25 to 34,female,NYC
1209,35 to 44,female,NYC
1210,35 to 44,non-binary,SF
1211,18 to 24,male,SEA
1212,35 to 44,male,HOU
1213,25 to 34,prefer not to answer,SF
1214,18 to 24,female,DC
1215,18 to 24,prefer not to answer,NYC
1216,35 to 44,female,LA
1217,35 to 44,prefer not to answer,SEA
1218,25 to 34,male,PHL
1219,25 to 34,male,SEA
1220,18 to 24,prefer not to answer,PHL
1221,35 to 44,male,SEA
1222,35 to 44,male,BOS
1223,18 to 24,male,NYC
1224,25 to 34,female,LA
1225,25 to 34,male,NYC
1226,25 to 34,prefer not to answer,None of above
1227,25 to 34,female,NYC
1228,55+,female,None of above
1229,35 to 44,male,HOU
1230,35 to 44,female,None of above
1231,25 to 34,female,None of above
1232,25 to 34,female,SF
1233,25 to 34,prefer not to answer,HOU
1234,35 to 44,male,HOU
1235,25 to 34,prefer not to answer,PHL
1236,45 to 54,male,DC
1237,25 to 34,female,SF
1238,18 to 24,female,DC
1239,45 to 54,male,SEA
1240,25 to 34,female,DC
1241,25 to 34,female,SEA
1242,35 to 44,male,SEA
1243,35 to 44,male,DC
1244,18 to 24,female,SF
1245,35 to 44,female,LA
1246,45 to 54,female,LA
1247,25 to 34,prefer not to answer,NYC
1248,25 to 34,male,None of above
1249,25 to 34,prefer not to answer,LA
1250,25 to 34,female,DC
1251,35 to 44,female,ATL
1252,25 to 34,male,LA
1253,35 to 44,male,SF
1254,45 to 54,male,SEA
1255,55+,male,DC
1256,25 to 34,male,LA
1257,18 to 24,female,LA
1258,18 to 24,female,DC
1259,45 to 54,male,None of above
1260,18 to 24,female,SF
1261,25 to 34,male,DC
1262,18 to 24,prefer not to answer,None of above
1263,25 to 34,male,CHI
1264,35 to 44,female,DC
1265,25 to 34,male,ATL
1266,25 to 34,prefer not to answer,BOS
1267,25 to 34,prefer not to answer,SF
1268,45 to 54,prefer not to answer,PHL
1269,25 to 34,female,SEA
1270,35 to 44,female,LA
1271,35 to 44,male,SF
1272,25 to 34,male,None of above
1273,25 to 34,female,SF
1274,25 to 34,male,PHL
1275,25 to 34,female,None of above
1276,25 to 34,male,DC
1277,35 to 44,female,LA
1278,25 to 34,male,None of above
1279,35 to 44,prefer not to answer,SF
1280,25 to 34,female,DC
1281,25 to 34,female,NYC
1282,25 to 34,male,LA
1283,35 to 44,male,DC
1284,25 to 34,male,ATL
1285,18 to 24,prefer not to answer,None of above
1286,35 to 44,male,SEA
1287,45 to 54,female,DC
1288,35 to 44,male,LA
1289,25 to 34,female,SEA
1290,25 to 34,female,PHL
1291,25 to 34,female,DC
1292,35 to 44,male,DC
1293,45 to 54,prefer not to answer,DC
1294,35 to 44,female,None of above
1295,25 to 34,female,None of above
1296,18 to 24,female,None of above
1297,35 to 44,female,None of above
1298,45 to 54,prefer not to answer,SF
1299,25 to 34,female,DC
1300,25 to 34,prefer not to answer,HOU
1301,25 to 34,female,SEA
1302,35 to 44,female,DC
1303,25 to 34,female,DC
1304,35 to 44,female,DC
1305,45 to 54,prefer not to answer,DC
1306,18 to 24,female,SEA
1307,35 to 44,female,LA
1308,25 to 34,female,SF
1309,35 to 44,female,SEA
1310,25 to 34,non-binary,NYC
1311,55+,female,SF
1312,35 to 44,prefer not to answer,HOU
1313,35 to 44,prefer not to answer,SEA
1314,18 to 24,female,ATL
1315,35 to 44,female,SF
1316,25 to 34,female,LA
1317,45 to 54,prefer not to answer,NYC
1318,25 to 34,female,HOU
1319,35 to 44,male,NYC
1320,18 to 24,female,SF
1321,35 to 44,female,SF
1322,45 to 54,male,None of above
1323,25 to 34,female,SF
1324,25 to 34,female,SF
1325,35 to 44,female,None of above
1326,35 to 44,female,None of above
1327,35 to 44,female,SF
1328,25 to 34,prefer not to answer,None of above
1329,25 to 34,male,SEA
1330,25 to 34,female,PHL
1331,55+,female,None of above
1332,18 to 24,female,LA
1333,25 to 34,female,None of above
1334,35 to 44,female,SEA
1335,35 to 44,prefer not to answer,NYC
1336,35 to 44,male,LA
1337,35 to 44,non-binary,HOU
1338,25 to 34,male,DC
1339,35 to 44,male,LA
1340,45 to 54,female,DC
1341,35 to 44,prefer not to answer,SF
1342,25 to 34,male,SF
1343,35 to 44,prefer not to answer,NYC
1344,25 to 34,female,SF
1345,25 to 34,female,LA
1346,18 to 24,female,LA
1347,25 to 34,prefer not to answer,SF
1348,25 to 34,male,DC
1349,35 to 44,female,None of above
1350,35 to 44,female,NYC
1351,18 to 24,female,DC
1352,55+,female,None of above
1353,25 to 34,prefer not to answer,SF
1354,35 to 44,female,CHI
1355,35 to 44,female,LA
1356,25 to 34,female,SF
1357,35 to 44,female,NYC
1358,25 to 34,non-binary,ATL
1359,35 to 44,female,LA
1360,18 to 24,female,SF
1361,25 to 34,non-binary,SF
1362,35 to 44,male,SF
1363,45 to 54,female,CHI
1364,25 to 34,male,PHL
1365,25 to 34,prefer not to answer,SEA
1366,25 to 34,prefer not to answer,None of above
1367,25 to 34,prefer not to answer,None of above
1368,35 to 44,female,SEA
1369,18 to 24,female,LA
1370,25 to 34,male,LA
1371,35 to 44,female,NYC
1372,18 to 24,female,SEA
1373,55+,female,SEA
1374,25 to 34,female,PHL
1375,25 to 34,female,LA
1376,35 to 44,male,HOU
1377,45 to 54,prefer not to answer,ATL
1378,25 to 34,male,NYC
1379,18 to 24,male,NYC
1380,25 to 34,female,SF
1381,25 to 34,female,None of above
1382,25 to 34,female,SF
1383,25 to 34,female,HOU
1384,18 to 24,female,SF
1385,25 to 34,prefer not to answer,SF
1386,35 to 44,female,SF
1387,55+,female,HOU
1388,25 to 34,female,DC
1389,35 to 44,male,DC
1390,18 to 24,female,NYC
1391,18 to 24,female,SEA
1392,25 to 34,female,DC
1393,25 to 34,male,SEA
1394,45 to 54,female,LA
1395,35 to 44,male,None of above
1396,18 to 24,female,LA
1397,25 to 34,male,SF
1398,25 to 34,female,DC
1399,35 to 44,female,None of above
1400,25 to 34,female,SEA
1401,35 to 44,female,SF
1402,45 to 54,female,NYC
1403,35 to 44,male,None of above
1404,25 to 34,female,SF
1405,45 to 54,male,SF
1406,18 to 24,female,SEA
1407,25 to 34,male,DC
1408,25 to 34,female,None of above
1409,25 to 34,non-binary,CHI
1410,35 to 44,female,SF
1411,45 to 54,male,SEA
1412,18 to 24,female,CHI
1413,35 to 44,male,DC
1414,35 to 44,male,LA
1415,18 to 24,male,None of above
1416,45 to 54,female,SF
1417,35 to 44,prefer not to answer,LA
1418,18 to 24,male,DC
1419,25 to 34,female,None of above
1420,18 to 24,prefer not to answer,None of above
1421,35 to 44,male,DC
1422,35 to 44,male,None of above
1423,35 to 44,female,LA
1424,45 to 54,prefer not to answer,SEA
1425,35 to 44,female,DC
1426,25 to 34,female,HOU
1427,35 to 44,male,SF
1428,25 to 34,male,NYC
1429,25 to 34,female,ATL
1430,45 to 54,male,SF
1431,25 to 34,prefer not to answer,SEA
1432,55+,male,NYC
1433,25 to 34,female,LA
1434,45 to 54,female,None of above
1435,18 to 24,female,SF
1436,25 to 34,female,NYC
1437,35 to 44,male,SEA
1438,35 to 44,prefer not to answer,SF
1439,55+,female,NYC
1440,18 to 24,female,LA
1441,25 to 34,male,PHL
1442,18 to 24,female,SEA
1443,18 to 24,male,NYC
1444,25 to 34,female,None of above
1445,25 to 34,female,NYC
1446,45 to 54,female,LA
1447,35 to 44,female,PHL
1448,25 to 34,female,SF
1449,35 to 44,female,BOS
1450,25 to 34,prefer not to answer,DC
1451,35 to 44,female,DC
1452,18 to 24,prefer not to answer,NYC
1453,55+,female,SF
1454,45 to 54,prefer not to answer,DC
1455,35 to 44,male,NYC
1456,55+,female,SF
1457,25 to 34,female,SF
1458,55+,male,LA
1459,35 to 44,female,DC
1460,18 to 24,male,LA
1461,25 to 34,female,None of above
1462,25 to 34,female,PHL
1463,25 to 34,female,SF
1464,18 to 24,female,NYC
1465,35 to 44,male,PHL
1466,18 to 24,prefer not to answer,ATL
1467,35 to 44,prefer not to answer,NYC
1468,18 to 24,female,LA
1469,25 to 34,female,DC
1470,45 to 54,prefer not to answer,PHL
1471,25 to 34,female,LA
1472,25 to 34,male,SF
1473,25 to 34,prefer not to answer,DC
1474,55+,male,SEA
1475,25 to 34,female,DC
1476,45 to 54,female,None of above
1477,25 to 34,female,None of above
1478,25 to 34,female,SF
1479,25 to 34,female,NYC
1480,18 to 24,male,NYC
1481,25 to 34,female,PHL
1482,35 to 44,female,ATL
1483,35 to 44,male,SF
1484,35 to 44,prefer not to answer,DC
1485,25 to 34,female,SF
1486,18 to 24,prefer not to answer,LA
1487,25 to 34,female,DC
1488,45 to 54,prefer not to answer,LA
1489,35 to 44,female,DC
1490,25 to 34,male,SEA
1491,35 to 44,male,NYC
1492,35 to 44,female,None of above
1493,35 to 44,female,LA
1494,25 to 34,male,None of above
1495,35 to 44,female,None of above
1496,25 to 34,female,LA
1497,35 to 44,female,LA
1498,25 to 34,female,LA
1499,25 to 34,female,LA
1500,35 to 44,female,SEA
1501,18 to 24,female,LA
1502,35 to 44,female,SF
1503,35 to 44,prefer not to answer,SEA
1504,18 to 24,male,DC
1505,35 to 44,male,SF
1506,45 to 54,female,SF
1507,35 to 44,male,DC
1508,18 to 24,male,LA
1509,25 to 34,prefer not to answer,SF
1510,25 to 34,female,DC
1511,25 to 34,prefer not to answer,LA
1512,25 to 34,female,SF
1513,25 to 34,female,PHL
1514,35 to 44,female,SF
1515,25 to 34,male,DC
1516,25 to 34,female,SF
1517,18 to 24,male,SF
1518,25 to 34,female,SF
1519,35 to 44,male,HOU
1520,25 to 34,female,HOU
1521,25 to 34,male,LA
1522,45 to 54,female,SF
1523,35 to 44,female,LA
1524,35 to 44,female,SF
1525,25 to 34,prefer not to answer,NYC
1526,35 to 44,prefer not to answer,LA
1527,25 to 34,female,SF
1528,35 to 44,female,ATL
1529,25 to 34,female,LA
1530,35 to 44,female,LA
1531,18 to 24,female,SF
1532,35 to 44,female,SF
1533,18 to 24,male,None of above
1534,35 to 44,female,LA
1535,45 to 54,prefer not to answer,SEA
1536,45 to 54,female,BOS
1537,35 to 44,female,None of above
1538,35 to 44,male,LA
1539,25 to 34,male,SEA
1540,35 to 44,female,SEA
1541,55+,female,LA
1542,25 to 34,female,ATL
1543,18 to 24,female,LA
1544,35 to 44,male,None of above
1545,25 to 34,female,SF
1546,35 to 44,prefer not to answer,NYC
1547,18 to 24,female,DC
1548,45 to 54,female,LA
1549,35 to 44,male,LA
1550,35 to 44,female,SEA
1551,25 to 34,prefer not to answer,LA
1552,25 to 34,female,SF
1553,45 to 54,prefer not to answer,NYC
1554,45 to 54,female,SF
1555,18 to 24,prefer not to answer,NYC
1556,25 to 34,female,NYC
1557,25 to 34,female,SF
1558,35 to 44,female,SF
1559,35 to 44,female,SF
1560,25 to 34,prefer not to answer,SF
1561,25 to 34,male,SF
1562,25 to 34,prefer not to answer,None of above
1563,25 to 34,female,None of above
1564,18 to 24,female,HOU
1565,35 to 44,prefer not to answer,NYC
1566,35 to 44,male,DC
1567,35 to 44,female,LA
1568,25 to 34,female,PHL
1569,25 to 34,female,LA
1570,45 to 54,female,NYC
1571,35 to 44,male,ATL
1572,35 to 44,male,None of above
1573,18 to 24,female,ATL
1574,35 to 44,prefer not to answer,SF
1575,25 to 34,female,SF
1576,18 to 24,male,PHL
1577,25 to 34,male,SF
1578,25 to 34,male,None of above
1579,45 to 54,female,CHI
1580,25 to 34,male,None of above
1581,25 to 34,female,LA
1582,25 to 34,female,NYC
1583,25 to 34,female,NYC
1584,25 to 34,female,SEA
1585,25 to 34,female,LA
1586,25 to 34,female,None of above
1587,45 to 54,prefer not to answer,SEA
1588,25 to 34,male,SEA
1589,35 to 44,female,SF
1590,25 to 34,female,SF
1591,25 to 34,prefer not to answer,SF
1592,45 to 54,female,None of above
1593,45 to 54,male,NYC
1594,25 to 34,male,LA
1595,25 to 34,female,DC
1596,35 to 44,prefer not to answer,SF
1597,35 to 44,female,SF
1598,25 to 34,female,CHI
1599,35 to 44,female,NYC
1600,25 to 34,prefer not to answer,BOS
1601,45 to 54,female,LA
1602,25 to 34,female,SEA
1603,25 to 34,male,None of above
1604,25 to 34,female,None of above
1605,18 to 24,prefer not to answer,SF
1606,18 to 24,female,DC
1607,18 to 24,female,LA
1608,45 to 54,prefer not to answer,SF
1609,18 to 24,female,LA
1610,25 to 34,prefer not to answer,DC
1611,25 to 34,female,None of above
1612,35 to 44,male,None of above
1613,35 to 44,female,SF
1614,25 to 34,female,LA
1615,25 to 34,female,SEA
1616,35 to 44,female,SF
1617,35 to 44,non-binary,LA
1618,25 to 34,male,None of above
1619,25 to 34,female,CHI
1620,35 to 44,male,SF
1621,25 to 34,female,LA
1622,25 to 34,prefer not to answer,DC
1623,18 to 24,female,LA
1624,25 to 34,male,None of above
1625,25 to 34,prefer not to answer,SF
1626,35 to 44,prefer not to answer,NYC
1627,25 to 34,prefer not to answer,SF
1628,25 to 34,female,SEA
1629,25 to 34,male,LA
1630,45 to 54,male,PHL
1631,45 to 54,male,PHL
1632,35 to 44,prefer not to answer,None of above
1633,18 to 24,female,NYC
1634,18 to 24,female,DC
1635,18 to 24,female,LA
1636,35 to 44,male,LA
1637,45 to 54,male,DC
1638,25 to 34,female,DC
1639,45 to 54,female,HOU
1640,45 to 54,female,SF
1641,25 to 34,female,SF
1642,35 to 44,male,LA
1643,25 to 34,female,LA
1644,35 to 44,male,DC
1645,35 to 44,male,DC
1646,35 to 44,female,SEA
1647,35 to 44,female,None of above
1648,35 to 44,female,DC
1649,25 to 34,male,PHL
1650,25 to 34,female,SF
1651,18 to 24,male,PHL
1652,25 to 34,male,BOS
1653,25 to 34,female,CHI
1654,25 to 34,non-binary,None of above
1655,35 to 44,female,SF
1656,18 to 24,male,None of above
1657,35 to 44,female,SEA
1658,25 to 34,female,PHL
1659,25 to 34,prefer not to answer,NYC
1660,25 to 34,female,None of above
1661,35 to 44,prefer not to answer,SF
1662,25 to 34,male,LA
1663,25 to 34,male,NYC
1664,25 to 34,female,SF
1665,35 to 44,female,BOS
1666,25 to 34,female,HOU
1667,35 to 44,prefer not to answer,NYC
1668,25 to 34,male,SEA
1669,35 to 44,female,DC
1670,25 to 34,female,DC
1671,25 to 34,female,LA
1672,45 to 54,female,None of above
1673,55+,prefer not to answer,SF
1674,35 to 44,female,None of above
1675,18 to 24,female,SEA
1676,35 to 44,prefer not to answer,SEA
1677,35 to 44,female,DC
1678,18 to 24,male,DC
1679,25 to 34,female,NYC
1680,45 to 54,prefer not to answer,SEA
1681,25 to 34,male,HOU
1682,55+,female,SF
1683,25 to 34,prefer not to answer,NYC
1684,25 to 34,female,None of above
1685,18 to 24,male,LA
1686,35 to 44,female,NYC
1687,25 to 34,male,None of above
1688,25 to 34,male,LA
1689,35 to 44,female,SF
1690,18 to 24,male,LA
1691,35 to 44,female,DC
1692,35 to 44,female,SF
1693,35 to 44,female,None of above
1694,18 to 24,female,SEA
1695,25 to 34,prefer not to answer,PHL
1696,25 to 34,female,SF
1697,25 to 34,prefer not to answer,LA
1698,18 to 24,female,SEA
1699,25 to 34,female,LA
1700,35 to 44,female,LA
1701,35 to 44,female,SF
1702,18 to 24,male,SEA
1703,18 to 24,prefer not to answer,ATL
1704,35 to 44,prefer not to answer,None of above
1705,35 to 44,female,DC
1706,18 to 24,prefer not to answer,PHL
1707,25 to 34,female,None of above
1708,45 to 54,male,NYC
1709,25 to 34,prefer not to answer,SEA
1710,35 to 44,male,SF
1711,45 to 54,male,LA
1712,25 to 34,female,NYC
1713,35 to 44,male,BOS
1714,25 to 34,male,LA
1715,35 to 44,female,BOS
1716,55+,female,NYC
1717,25 to 34,female,SF
1718,25 to 34,female,None of above
1719,25 to 34,prefer not to answer,PHL
1720,18 to 24,female,None of above
1721,35 to 44,non-binary,LA
1722,25 to 34,prefer not to answer,None of above
1723,18 to 24,male,NYC
1724,35 to 44,female,SF
1725,25 to 34,prefer not to answer,SF
1726,25 to 34,non-binary,LA
1727,45 to 54,female,None of above
1728,25 to 34,female,LA
1729,35 to 44,prefer not to answer,SF
1730,25 to 34,female,LA
1731,18 to 24,female,LA
1732,18 to 24,female,DC
1733,25 to 34,male,LA
1734,25 to 34,female,LA
1735,18 to 24,prefer not to answer,LA
1736,18 to 24,female,None of above
1737,45 to 54,female,LA
1738,18 to 24,female,HOU
1739,45 to 54,female,BOS
1740,45 to 54,female,LA
1741,25 to 34,female,SF
1742,35 to 44,male,SF
1743,35 to 44,female,None of above
1744,25 to 34,prefer not to answer,LA
1745,35 to 44,female,None of above
1746,35 to 44,female,LA
1747,25 to 34,female,DC
1748,35 to 44,prefer not to answer,NYC
1749,25 to 34,male,LA
1750,25 to 34,male,LA
1751,35 to 44,female,DC
1752,55+,prefer not to answer,LA
1753,25 to 34,female,CHI
1754,35 to 44,female,LA
1755,25 to 34,non-binary,CHI
1756,25 to 34,male,None of above
1757,18 to 24,female,SF
1758,25 to 34,female,HOU
1759,25 to 34,female,None of above
1760,35 to 44,female,DC
1761,18 to 24,prefer not to answer,DC
1762,25 to 34,male,NYC
1763,25 to 34,male,SF
1764,25 to 34,prefer not to answer,LA
1765,35 to 44,female,NYC
1766,25 to 34,female,SF
1767,25 to 34,male,DC
1768,55+,female,LA
1769,35 to 44,female,None of above
1770,25 to 34,female,None of above
1771,25 to 34,prefer not to answer,LA
1772,35 to 44,non-binary,SF
1773,25 to 34,male,SEA
1774,18 to 24,prefer not to answer,SF
1775,25 to 34,male,SF
1776,45 to 54,female,LA
1777,18 to 24,male,LA
1778,25 to 34,male,None of above
1779,35 to 44,prefer not to answer,NYC
1780,35 to 44,female,None of above
1781,25 to 34,male,CHI
1782,35 to 44,female,LA
1783,18 to 24,female,None of above
1784,25 to 34,prefer not to answer,NYC
1785,25 to 34,female,None of above
1786,35 to 44,female,SF
1787,25 to 34,male,SF
1788,45 to 54,female,SEA
1789,25 to 34,male,SF
1790,25 to 34,female,LA
1791,25 to 34,non-binary,DC
1792,45 to 54,prefer not to answer,HOU
1793,25 to 34,male,LA
1794,55+,male,HOU
1795,35 to 44,female,BOS
1796,25 to 34,male,LA
1797,18 to 24,female,ATL
1798,25 to 34,prefer not to answer,NYC
1799,45 to 54,female,SF
1800,35 to 44,male,LA
1801,35 to 44,male,SF
1802,25 to 34,male,DC
1803,18 to 24,female,LA
1804,25 to 34,male,SF
1805,25 to 34,prefer not to answer,LA
1806,35 to 44,prefer not to answer,DC
1807,25 to 34,male,None of above
1808,25 to 34,prefer not to answer,LA
1809,25 to 34,male,HOU
1810,25 to 34,prefer not to answer,SF
1811,25 to 34,prefer not to answer,LA
1812,35 to 44,female,None of above
1813,25 to 34,female,LA
1814,25 to 34,male,BOS
1815,25 to 34,prefer not to answer,NYC
1816,35 to 44,female,LA
1817,45 to 54,female,DC
1818,25 to 34,male,SEA
1819,25 to 34,female,NYC
1820,35 to 44,female,None of above
1821,35 to 44,male,HOU
1822,25 to 34,female,SF
1823,25 to 34,male,SEA
1824,35 to 44,female,SEA
1825,45 to 54,non-binary,None of above
1826,25 to 34,female,CHI
1827,18 to 24,male,SEA
1828,45 to 54,female,SF
1829,25 to 34,male,DC
1830,45 to 54,prefer not to answer,LA
1831,35 to 44,female,NYC
1832,55+,male,SF
1833,25 to 34,female,DC
1834,35 to 44,female,LA
1835,45 to 54,male,None of above
1836,35 to 44,female,SF
1837,25 to 34,female,NYC
1838,18 to 24,prefer not to answer,NYC
1839,25 to 34,prefer not to answer,NYC
1840,55+,female,NYC
1841,45 to 54,male,HOU
1842,25 to 34,female,LA
1843,25 to 34,female,SEA
1844,45 to 54,female,PHL
1845,45 to 54,female,LA
1846,25 to 34,prefer not to answer,None of above
1847,25 to 34,female,NYC
1848,25 to 34,female,NYC
1849,35 to 44,female,ATL
1850,45 to 54,non-binary,SF
1851,35 to 44,prefer not to answer,NYC
1852,45 to 54,female,LA
1853,18 to 24,male,SEA
1854,35 to 44,female,SF
1855,35 to 44,male,PHL
1856,25 to 34,male,SEA
1857,35 to 44,female,NYC
1858,25 to 34,female,None of above
1859,25 to 34,female,SF
1860,18 to 24,female,DC
1861,25 to 34,male,PHL
1862,25 to 34,female,LA
1863,25 to 34,male,DC
1864,25 to 34,male,None of above
1865,25 to 34,male,DC
1866,35 to 44,female,BOS
1867,35 to 44,female,LA
1868,45 to 54,female,BOS
1869,25 to 34,female,None of above
1870,25 to 34,female,DC
1871,18 to 24,male,SF
1872,25 to 34,non-binary,NYC
1873,25 to 34,male,DC
1874,18 to 24,female,BOS
1875,55+,female,DC
